Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Produção
05/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2654581
05/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25221273
05/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,951313
05/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,609360
04/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,51300916
04/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,3417496
04/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,30750441
04/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3170178
04/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25479292
04/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,956978
04/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,847250
03/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,42632593
03/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2957640
03/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,45779941
03/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,196284
03/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3300395
03/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21759595
03/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,949216
03/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,886510
02/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,50431604
02/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4908160
02/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,45931945
02/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,131752
02/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2991458
02/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24465552
02/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,779445
02/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1125642
01/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,55490541
01/2022,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5458606
01/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,51441437
01/2022,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4963864
01/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25184945
01/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,775567
01/2022,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,642840
12/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,50965808
12/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5134680
12/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,54754822
12/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,45872
12/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4758063
12/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23989728
12/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,985648
12/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,843850
11/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,53886919
11/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5725948
11/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,54060517
11/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3295007
11/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25113815
11/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,911200
11/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1517300
10/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,42582141
10/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5978316
10/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,57797400
10/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3745999
10/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24529536
10/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,742451
10/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,947130
09/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,41464586
09/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5018703
09/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,49421585
09/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2801295
09/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24828505
09/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1131540
09/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1009700
08/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,50928376
08/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,6006020
08/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,47121472
08/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3278763
08/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21431388
08/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,957939
08/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1564270
07/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,60041950
07/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4943524
07/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,48465324
07/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3141663
07/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,22445319
07/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1018676
07/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1520830
06/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48307837
06/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4668620
06/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,52929599
06/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3140112
06/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,15133069
06/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,939400
05/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,58458520
05/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4608536
05/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,58121870
05/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3628817
04/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,52856685
04/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5051047
04/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,55963201
04/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3400337
04/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,2409455
04/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,213210
03/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,54039142
03/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,3788522
