Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Produto,Produção
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Combustível Marítimo (kg),61882349
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Diesel S10 (m³),127255
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Diesel S500 (m³),56841
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Parafinas (kg),2105286
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Propano (m³),24918
11/2022,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Querosene de Aviação (m³),74195
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Asfalto (kg),432910
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Cimento Asfáltico (kg),58056690
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Coque (kg),17053000
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Gasolina A (m³),206352
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,GLP (kg),28086705
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Óleo Combustível (kg),28877583
11/2022,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Óleo Diesel S10 (m³),189748
